Course Reference Number,Skill Title,Course Title,About This Course,What You'll Learn,skill_lower,Sector Relevance,proficiency_level,reason,confidence,proficiency_level_rac_chart,reason_rac_chart,confidence_rac_chart
TGS-2020504914,Market Research,Certificate in Data Protection for Business Markets,The protection of Data is getting more critical. This course provides learners an understanding what is Personal Data Protection Act (PDPA) and acquire skills to handle personal data in their daily operations. It will include the guideline to implementing a Data Protection Management Programme (DPMP).,"- how the 9 PDPA Obligations and the Do Not Call Provisions to their daily work or business_x000D_
- the consequences of non-compliance to the Personal Data Protection Act (PDPA)_x000D_
- what is data lifecycle_x000D_
- the guildelines to implement a Data Protection Management Programme_x000D_
- best practices in operationalising PDPA_x000D_
- information security when storing and deleting data.",market research,In Sector,0,"The course focuses on data protection and PDPA, not on market research techniques or execution.",high,0.0,"The course content focuses on data protection, PDPA, and data management rather than market research. There is no direct mention or implication of market research skills being taught or required.",high
TGS-2015502744,Cargo Warehousing Operations,Masters Of Science Business Analytics Programme,"The NUS Master of Science in Business Analytics (MSBA) is a master's degree programme offered by the NUS Business Analytics Centre (BAC). It is designed and taught by award-winning academics from NUS Business School and NUS Computing. The master's degree programme aims to develop professionals with business analytics skills that will meet the growing demands of companies looking to improve their operations through data analytics.

Offered in Singapore for local and overseas students as a full-time (13 months) or part-time (2-year) programme, the NUS Master of Science in Business Analytics (MSBA) programme is designed to facilitate experiential learning, through a balance of intellectual academic rigor and hands-on applications. Students who underwent the NUS Masters of Science in Business Analytics (MSBA) programme will be well-equipped with skills such as machine learning to excel in the data-analytics field across various industries such as finance, retail, information technology, supply chain, and healthcare.

The Singapore-based master's degree programme boasts strong connection to industry partners in the business data analytics field across various sectors. Students pursuing or graduated from the NUS Master of Science in Business Analytics (MSBA) programme can interact with and learn from the leaders in this community to enhance their career prospects and competencies in the business analytics field.

Upon completion of the programme, NUS MSBA graduates will be able to use relevant data-driven techniques and tools to understand and resolve complex business analytics problems, a skill highly sought after across different industries and environments, both locally and internationally.","Students will complete 5 essential modules to build a cross-disciplinary foundation for Business Analytics and engage in rigorous study beyond the assumed disciplinary borders. This covers the interface between computer science, statistics, and other professional disciplines in the NUS Education framework. Students who know first-year undergraduate mathematics, specifically calculus and linear algebra and programming knowledge would have an advantage.
Essential Modules: 
ï¿½	Analytics in Managerial Economics
ï¿½	Data Management and Warehousing
ï¿½	Operations Research and Analytics 
ï¿½	Foundation of Business Analytics 
ï¿½	Advanced Analytics and Machine Learning 

Electives Modules (From 5 Verticals)
In addition to essential modules, students are required to take three elective modules from at most two of the following vertical sectors.
These elective modules will help them delve deeper into understanding different analytic techniques required for specific industry sectors and build upon knowledge, concepts and skills learnt in essential modules. Through these elective modules, students innovate, devise, and refine techniques and tools to solve complex problems.
Students who aspire to be a Business Analytics expert in other vertical sectors beyond the five below may take relevant advanced modules from the respective participating faculties, subject to approval by the Academic Committee.
ï¿½	Big Data Analytics Techniques
ï¿½	Consumer Analytics 
ï¿½	Financial & Risk Analytics 
ï¿½	Healthcare Analytics
ï¿½	Statistical Modelling",cargo warehousing operations,In Sector,0,The course focuses on business analytics and does not cover specific cargo warehousing operations.,high,0.0,"The course content provided does not specifically mention 'cargo warehousing operations' as a skill taught. The focus is on business analytics, data management, machine learning, and other related skills.",high
TGS-2015502789,Network Planning And Operations,Bachelor of Science (Applied Mathematics) (Major),"Mathematics conceptualises the concrete and generalises the specific. Its foundations are built on three main areas: algebra, analysis and geometry.  Mathematics provides a framework for the laws of physics and chemistry and a theoretical toolkit for applications in the physical and biological sciences, computer science, engineering, operations research, economic and statistical sciences and many areas of organised human knowledge. The specialisation of mathematics for applications, especially in science and engineering, has led to a broad discipline usually referred to as ?Applied Mathematics?. In this major, students focus on mathematics that deals with algorithms, problem-solving techniques and applications to other areas of human concern. ","The mathematical training is guided by an educational philosophy that fosters logical and critical thinking, and develops capabilities to conceptualise, improvise and innovate during the process of formulating, analysing and solving problems. Topics offered include financial mathematics, optimisation and operations research, mathematical modelling, numerical methods and simulations, coding and cryptography, computational biology and many others. Students can look forward to taking modules such as MA3264 Mathematical Modelling, ST3131 Regression Analysis, MA3252 Linear and Network Optimization, MA3269 Mathematical Finance, MA4235 Topics in Graph Theory, and MA4261 Coding and Cryptography.
For the full list of modules and other information regarding this course, please refer to http://ww1.math.nus.edu.sg/undergrad.aspx?f=UP-AM. 
",network planning and operations,In Sector,0,The course description does not explicitly mention Network Planning and Operations.,high,0.0,"The course content provided does not explicitly cover the specific knowledge and abilities related to network planning and operations as defined in the Knowledge Base. The course focuses on applied mathematics, including topics such as financial mathematics, optimisation, operations research, mathematical modelling, numerical methods, and coding and cryptography, but does not directly address the detailed aspects of network planning and operations in the context of airline scheduling, fleet planning, or network optimisation.",high
TGS-2015502796,Network Planning And Operations,Bachelor of Science (Quantitative Finance) (Hons),"Quantitative Finance is a multidisciplinary honours-track programme that combines mathematics, finance and computing with a practical orientation that is designed for students who wish to become professionals in the finance industry. The explosive growth of computer technology, globalisation, and theoretical advances in finance and mathematics have resulted in quantitative methods playing an increasingly important role in the financial services industry and the economy as a whole. New mathematical and computational methods have transformed the investment process and the financial industry. Today banks, investment firms, and insurance companies turn to technological innovation to gain competitive advantage. Sophisticated mathematical models are used to support investment decisions, to develop and price new securities and innovative products or to manage risk. Hence there is an increasing demand from the industry for graduates with a high level of quantitative and analytical skills.","The programme is conducted jointly by the Faculty of Science, NUS Business School and School of Computing. The curriculum is multidisciplinary with coverage in the following areas:
 1) Mathematical Theory and Tools. Students can look forward to reading modules such as MA1101R Linear Algebra I, MA1102R Calculus, MA1104 Multivariable Calculus, MA3252 Linear and Network Optimisation, and MA3264 Mathematical Modelling.
 2) Statistical Tools. Modules offered include MA2216 /ST2131 Probability, and ST3131 Regression Analysis.
 3) Computing Theory and Techniques. Modules such as CS1010 /CS1010E / CS1010S/ CS1010F Programming Methodology, CS1020 /CS1020E Data Structures and Algorithms I, and CS3230 Designs and Analysis of Algorithms. 
 4) Financial Theory and Principles. Modules offered include  ACC1002 Financial Accounting, FIN2004 Finance, FIN3101 Corporate Finance, FIN3103 Financial Markets, FIN3117 Bank Management, and FIN3118 Financial Risk Management.
 5) Core Financial Product Knowledge. Modules offered include QF3101 Investment Instruments: Theory and Computation, QF4102 Financial Modelling, and QF5210 Financial Time Series: Theory and Computation. 
For the full list of modules and other information regarding this course, please refer to http://ww1.math.nus.edu.sg/undergrad.aspx?f=UP-QF#Course_Structure_by_Cohort.
",network planning and operations,In Sector,0,The course description does not mention Network Planning and Operations.,high,0.0,"The course content provided does not include specific information or modules related to network planning and operations, particularly in the context of airline or flight network planning. The skills and knowledge areas listed in the Knowledge Base for network planning and operations are not covered in the described curriculum.",high
TGS-2015502797,Network Planning And Operations,Bachelor of Science (Quantitative Finance) (Major),"Quantitative Finance is a multidisciplinary honours-track programme that combines mathematics, finance and computing with a practical orientation that is designed for students who wish to become professionals in the finance industry. The explosive growth of computer technology, globalisation, and theoretical advances in finance and mathematics have resulted in quantitative methods playing an increasingly important role in the financial services industry and the economy as a whole. New mathematical and computational methods have transformed the investment process and the financial industry. Today banks, investment firms, and insurance companies turn to technological innovation to gain competitive advantage. Sophisticated mathematical models are used to support investment decisions, to develop and price new securities and innovative products or to manage risk. Hence there is an increasing demand from the industry for graduates with a high level of quantitative and analytical skills.","The programme is conducted jointly by the Faculty of Science, NUS Business School and School of Computing. The curriculum is multidisciplinary with coverage in the following areas:
 1) Mathematical Theory and Tools. Students can look forward to reading modules such as MA1101R Linear Algebra I, MA1102R Calculus, MA1104 Multivariable Calculus, MA3252 Linear and Network Optimisation, and MA3264 Mathematical Modelling.
 2) Statistical Tools. Modules offered include MA2216 /ST2131 Probability, and ST3131 Regression Analysis.
 3) Computing Theory and Techniques. Modules such as CS1010 /CS1010E / CS1010S/ CS1010F Programming Methodology, CS1020 /CS1020E Data Structures and Algorithms I, and CS3230 Designs and Analysis of Algorithms. 
 4) Financial Theory and Principles. Modules offered are ACC1002 Financial Accounting, FIN2004 Finance, FIN3101 Corporate Finance, FIN3103 Financial Markets, FIN3117 Bank Management, and FIN3118 Financial Risk Management.
 5) Core Financial Product Knowledge. An example of such a module is QF3101 Investment Instruments: Theory and Computation
For the full list of modules and other information regarding this course, please refer to http://ww1.math.nus.edu.sg/undergrad.aspx?f=UP-QF#Course_Structure_by_Cohort.

",network planning and operations,In Sector,0,The course description does not explicitly cover Network Planning and Operations.,high,0.0,"The course content for the Bachelor of Science (Quantitative Finance) does not explicitly cover the knowledge and abilities related to network planning and operations as defined in the Knowledge Base. The focus of the course is on mathematics, finance, computing, and financial product knowledge, which do not directly align with the specific requirements for network planning and operations in the aviation industry.",high
TGS-2015502813,Network Planning And Operations,Bachelor of Science (Statistics) (Hons),"Statistics is the scientific application of mathematical principles to the collection, analysis, and presentation of numerical data. Statisticians contribute to scientific inquiry by applying their mathematical and statistical knowledge to the design of surveys and experiments; the collection, processing, and analysis of data; and the interpretation of the results. Statisticians may apply their knowledge of statistical methods to a variety of subject areas, such as biology, business, economics, education, engineering, finance, marketing, medicine, psychology, public health, and sports. In particular, biostatistics is a specialisation of statistics for quantitative research in the health sciences. The designs and analytic methods of biostatistics enable health scientists and professionals in academia, government, pharmaceutical companies, medical research organisations and elsewhere to efficiently acquire knowledge and draw valid conclusions from their ever-expanding sources of information.

","Statistics is an interdisciplinary subject by nature. In the development of Statistics, Mathematics and Computer Science respectively provide the theoretical foundation and the computational tools while real-world problems stimulate and guide further research. These considerations are reflected in the Department's curriculum. In addition to Statistics modules, Statistics students are encouraged to read modules in Mathematics and Computer Science. Students can expect to read core modules such as ST1131 Introduction to Statistics, MA1101R Linear Algebra I, MA1102R Calculus, CS1010 Programming Methodology, ST2131/ MA2216 Probability, ST2132 Mathematical Statistics, ST2137 Computer Aided Data Analysis, and MA2311 Techniques in Advanced Calculus.
The core statistical education consists of probability and stochastic processes, statistical principles, computer-aided data analysis, regression analysis, and categorical data analysis. Modules include ST3131 Regression Analysis, ST3236 Stochastic Processes I, MA3229 Introduction to Geometric Modelling, MA3252 Linear and Network Optimisation, MA3256 Applied Cryptography, and MA3259 Mathematical Methods in Genomics.
Honours students majoring in Statistics have the option to specialise in Biostatistics or in Finance and Business Statistics. The department has particular strengths in survival analysis, epidemiology, clinical trials and longitudinal data analysis for Biostatistics, and in time series analysis, statistical methods for actuarial science and finance, and data mining for Finance and Business Statistics.
For the full list of modules and other information regarding this course and their respective specialisations, please refer to http://www.stat.nus.edu.sg/opencms/currentstudents/prog_ugradstruct_FOS.html#BSc2007. 
 

",network planning and operations,In Sector,0,The course description does not mention Network Planning and Operations.,high,0.0,"The course content provided does not include specific information or training related to network planning and operations, particularly in the context of airline operations or similar fields. The skills and knowledge described in the course focus on statistics, mathematics, and computer science, which do not directly align with the detailed requirements for network planning and operations as defined in the Knowledge Base.",high
TGS-2015502814,Network Planning And Operations,Bachelor of Science (Statistics) (Major),"Statistics is the scientific application of mathematical principles to the collection, analysis, and presentation of numerical data. Statisticians contribute to scientific inquiry by applying their mathematical and statistical knowledge to the design of surveys and experiments; the collection, processing, and analysis of data; and the interpretation of the results. Statisticians may apply their knowledge of statistical methods to a variety of subject areas, such as biology, business, economics, education, engineering, finance, marketing, medicine, psychology, public health, and sports. In particular, biostatistics is a specialisation of statistics for quantitative research in the health sciences. The designs and analytic methods of biostatistics enable health scientists and professionals in academia, government, pharmaceutical companies, medical research organisations and elsewhere to efficiently acquire knowledge and draw valid conclusions from their ever-expanding sources of information.

","Statistics is an interdisciplinary subject by nature. In the development of Statistics, Mathematics and Computer Science respectively provide the theoretical foundation and the computational tools while real-world problems stimulate and guide further research. These considerations are reflected in the Department's curriculum. In addition to Statistics modules, Statistics students are encouraged to read modules in Mathematics and Computer Science. Students can expect to read core modules such as ST1131 Introduction to Statistics, MA1101R Linear Algebra I, MA1102R Calculus, CS1010 Programming Methodology, ST2131/ MA2216 Probability, ST2132 Mathematical Statistics, ST2137 Computer Aided Data Analysis, and MA2311 Techniques in Advanced Calculus.
The core statistical education consists of probability and stochastic processes, statistical principles, computer-aided data analysis, regression analysis, and categorical data analysis. Modules include ST3131 Regression Analysis, ST3236 Stochastic Processes I, MA3229 Introduction to Geometric Modelling, MA3252 Linear and Network Optimisation, MA3256 Applied Cryptography, and MA3259 Mathematical Methods in Genomics.
For the full list of modules and other information regarding this course, please refer to http://www.stat.nus.edu.sg/opencms/currentstudents/prog_ugradstruct_FOS.html#BSc2007. 
 

",network planning and operations,In Sector,0,The course description does not mention Network Planning and Operations or related topics.,high,0.0,"The course content for Bachelor of Science (Statistics) (Major) does not explicitly cover network planning and operations, which is a specialized skill set related to airline operations and network planning. The provided course modules focus on statistical methods, probability, stochastic processes, and data analysis, which do not directly align with the knowledge and abilities required for network planning and operations as defined in the Knowledge Base.",high
TGS-2018507305,Network Planning And Operations,COMPUTATIONAL MEDIA LITERACY,"Communication (and most scientific and corporate endeavours today) is deeply entwined with the world of computing. From social media to public relations campaigns, from game design to website layout, from business decision-making to news, from democratic participation to interactive art ? the ability to understand and make creative use of computational media is of fundamental importance. This module is a hands-on introduction to essential concepts in computational media including internet architecture, mediated communication, interactive systems, animation, visualization, big data, and creative design. JavaScript and other common technologies that power the web are introduced to empower non-programmers to explore these concepts independently.","Communication (and most scientific and corporate endeavours today) is deeply entwined with the world of computing. From social media to public relations campaigns, from game design to website layout, from business decisionâ€making to news, from democratic participation to interactive art â€“ the ability to understand and make creative use of computational media is of fundamental importance. This module is a handsâ€on introduction to essential concepts in computational media including internet architecture, mediated communication, interactive systems, animation, visualization, big data, and creative design. JavaScript and other common technologies that power the web are introduced to empower nonâ€programmers to explore these concepts independently.",network planning and operations,In Sector,0,The course focuses on computational media literacy and does not specifically address network planning and operations.,high,0.0,"The course content provided does not directly relate to the specific knowledge and abilities associated with network planning and operations as defined in the Knowledge Base. The course focuses on computational media literacy, including internet architecture, mediated communication, interactive systems, animation, visualization, big data, and creative design, which are not directly relevant to the detailed aspects of network planning and operations in the aviation industry.",high
TGS-2019504939,Wildlife Hazard Management,Apply good biosafety practices when working with animals,"1.	Identify and assess hazards and risks associated with animals and agents to determine appropriate laboratory containment level_x000D_
2.	Plan and develop appropriate programmes for addressing biorisk as well as the import, export and quarantine of animals and agents in accordance with national and international biosafety standards, guidelines and legislations_x000D_
3.	Plan and develop appropriate programmes for addressing decontamination, waste and pest management as well as occupational health to minimise incidents and accidents at the workplace._x000D_
4.	Assist in resolving conflicts between biocontainment and animal welfare in order to ensure ethical and humane care and use of animals",This module is designed to get an in-depth understanding of biosafety practices related to laboratory animal experiments and national /international standards/guidelines for experimental animals care and use.,wildlife hazard management,In Sector,0,"The course focuses on biosafety practices and animal care, not specifically on wildlife hazard management at airports.",high,0.0,"The provided course content and skill taught do not directly align with the specific knowledge and abilities associated with the proficiency levels for wildlife hazard management as defined in the Knowledge Base. The course focuses on biosafety practices related to laboratory animal experiments and national/international standards/guidelines for experimental animals care and use, which is distinct from the wildlife hazard management context provided.",low
TGS-2020503099,Airside Driving,Managing Change for Digital Transformations (Synchronous e-learning),"At the end of the programme, the participants will be able to:
â€¢ Assess the impact of the change on the organisation
â€¢ Assess the organisationâ€™s preparedness for the changes ahead
â€¢ Identify potential people-related risk areas
â€¢ Apply proven change design approaches to manage the change journey
â€¢ Make cultural changes and other environmental adjustments to drive and embed change
â€¢ Develop a tailored transformation change plan","A 3-day hands-on workshop to prepare technology and business leaders to plan, drive and navigate change for digital transformations.
This course provides technology and business leaders with a robust framework to systematically identify areas requiring change management when navigating digital transformations.
It is designed for leaders who are responsible for driving a consistent and concerted approach to change across the organisation.
Through interactive experiential learning and peer-to-peer sharing, you will be guided to develop insights on how you are managing your organisationâ€™s transformation journey. By applying the framework to your insights, you will be able to develop a tailored and robust change plan to address todayâ€™s issues and also prepare your organisation for change on the horizon.",airside driving,In Sector,0,The course description does not relate to airside driving skills or any of the proficiency levels defined for airside driving.,high,0.0,The course content and skills taught in the Managing Change for Digital Transformations course do not align with the knowledge and abilities associated with airside driving at any proficiency level in the Knowledge Base.,high
TGS-2020505611,Network Planning And Operations,Learning from Data: Neural Networks(Synchronous & Asynchronous),"Neural networks consist of input and output layers, as well as (in most cases) hidden layers consisting of interconnected units that transform the input data into an output. Their architecture makes them capable of learning and modelling nonlinear and complex relationships. In this course, participants will learn how to build and implement neural network models, and assess their performance. The versatility of neural networks is demonstrated through applications. Practical considerations about network architecture, model training and computational resources will be discussed.","Neural networks consist of input and output layers, as well as (in most cases) hidden layers consisting of interconnected units that transform the input data into an output. Their architecture makes them capable of learning and modelling nonlinear and complex relationships. In this course, participants will learn how to build and implement neural network models, and assess their performance. The versatility of neural networks is demonstrated through applications. Practical considerations about network architecture, model training and computational resources will be discussed.",network planning and operations,In Sector,0,"The course focuses on neural networks, not on network planning and operations.",high,0.0,"The course content provided focuses on building and implementing neural network models, assessing their performance, and discussing practical considerations about network architecture, model training, and computational resources. This does not align with the knowledge and abilities associated with the skill 'network planning and operations' as defined in the Knowledge Base, which is specific to airline operations and flight network planning.",high
TGS-2020505665,Air Cargo Operations Management,Port Operation and Management,"Port operations are complex and they require constant planning and monitoring to maintain the efficiency. Various resources of the port are very critical and proper planning is required to maximise their utilization. This planning ensures that the port is able to service more customers in the same time, thereby improving its productivity as well as profitability. This module will help the students understand the basic planning and management of the port processes. This module will also impart skills to the students to undertake port planning activities like berth scheduling, yard management and fleet management._x000D_
_x000D_
The cargo shipped between ports is very different than other cargo shipped through rail, air or road. The module will also introduce the students to the concepts of general port cargo, peculiarities of their operations and managing skills.                                                                                      _x000D_
_x000D_
The ultimate objective of this course is to prepare skilled manpower which can handle port planning and management operations. This manpower will also be adept at understanding the general cargo management.","Port operations are complex and they require constant planning and monitoring to maintain the efficiency. Various resources of the port are very critical and proper planning is required to maximise their utilization. This planning ensures that the port is able to service more customers in the same time, thereby improving its productivity as well as profitability. This module will help the students understand the basic planning and management of the port processes. This module will also impart skills to the students to undertake port planning activities like berth scheduling, yard management and fleet management._x000D_
_x000D_
The cargo shipped between ports is very different than other cargo shipped through rail, air or road. The module will also introduce the students to the concepts of general port cargo, peculiarities of their operations and managing skills.                                                                                      _x000D_
_x000D_
The ultimate objective of this course is to prepare skilled manpower which can handle port planning and management operations. This manpower will also be adept at understanding the general cargo management.",air cargo operations management,In Sector,0,"The course focuses on port operations and general cargo management, not specifically on air cargo operations management.",high,0.0,"The course content focuses on port operations and management, including port planning activities and general cargo management. There is no mention of air cargo operations management in the course description.",high
TGS-2020506064,Airside Driving,Managing Change for Digital Transformations,"At the end of the programme, the participants will be able to:
â€¢ Assess the impact of the change on the organisation
â€¢ Assess the organisationâ€™s preparedness for the changes ahead
â€¢ Identify potential people-related risk areas
â€¢ Apply proven change design approaches to manage the change journey
â€¢ Make cultural changes and other environmental adjustments to drive and embed change
â€¢ Develop a tailored transformation change plan","A 3-day hands-on workshop to prepare technology and business leaders to plan, drive and navigate change for digital transformations.
This course provides technology and business leaders with a robust framework to systematically identify areas requiring change management when navigating digital transformations.
It is designed for leaders who are responsible for driving a consistent and concerted approach to change across the organisation.
Through interactive experiential learning and peer-to-peer sharing, you will be guided to develop insights on how you are managing your organisationâ€™s transformation journey. By applying the framework to your insights, you will be able to develop a tailored and robust change plan to address todayâ€™s issues and also prepare your organisation for change on the horizon.",airside driving,In Sector,0,The course description does not cover any aspects related to airside driving.,high,0.0,The course content and skills taught in 'Managing Change for Digital Transformations' do not align with the knowledge and abilities associated with any proficiency levels for the skill 'airside driving' as defined in the Knowledge Base.,high
TGS-2020507625,Scheduling And Slot Coordination,Executive Course for Project Management,"This course aims to reinforce the learnersâ€™ knowledge of project management (PM) principles and update learners on advances in project management knowledge, legislation and technology. Key topics include project leadership, planning and scheduling, green construction, project finance, procurement, construction law, dispute management, international construction, BIM, complex projects, safety and health management and project risk management.","This course aims to reinforce the learnersâ€™ knowledge of project management (PM) principles and update learners on advances in project management knowledge, legislation and technology. Key topics include project leadership, planning and scheduling, green construction, project finance, procurement, construction law, dispute management, international construction, BIM, complex projects, safety and health management and project risk management.",scheduling and slot coordination,In Sector,0,The course description does not provide specific details on how Scheduling And Slot Coordination is taught.,high,0.0,"The provided Knowledge Base information is specific to airline scheduling and slot coordination, which does not directly align with the project management context of the course content. Therefore, it is not possible to determine the proficiency level for scheduling and slot coordination in the context of project management.",low
TGS-2022011564,Network Planning And Operations,Neural Networks for the Internet of Things,"At the end of the course, participants will be able to:_x000D_
1. design neural networks to learn and make predictions and decisions about IoT data","In this course, learners will learn the basics of neural networks, covering both unsupervised and supervised networks. Topics covered include unsupervised methods like Hebbian Learning, Kohonen Self Organizing Maps and K-Means Clustering, and supervised methods like the Perceptron Learning Law and Gradient Descent. Learners will also look at other forms of gradient descent, and the key issues in designing neural networks to get the best performance, including sizing the network, selecting loss and optimization methods, and overcoming under and overfitting.",network planning and operations,In Sector,0,"The course focuses on neural networks for IoT, not specifically on network planning and operations.",high,0.0,"The provided Knowledge Base proficiency levels and associated knowledge/ability items are specific to airline network planning and operations, which do not directly correlate with the skills taught in the Neural Networks for the Internet of Things course. Therefore, it is not possible to accurately determine the proficiency level for the skill 'network planning and operations' in the context of neural networks and IoT.",low
TGS-2022011566,"Food And Beverage Safety, Hygiene And Security",Urban Agriculture and Crop Biotechnology,"The module will cover the key challenges to sustainable food production arising from climate change. The need for indoor agriculture will be examined along with the cutting-edge precision agricultural technologies associated with this form of urban agriculture. The importance of scientific research in food security will be discussed with genetic solutions, including GWAS, marker-assisted breeding, and genome editing. Furthermore, the key challenges unique to urban indoor farming such as diseases, pests, abiotic stresses will be reviewed. There will be talks by guests from local industry, along with mini projects and seminars by students to enrich their learning outcomes._x000D_
","The module will cover the key challenges to sustainable food production arising from climate change. The need for indoor agriculture will be examined along with the cutting-edge precision agricultural technologies associated with this form of urban agriculture. The importance of scientific research in food security will be discussed with genetic solutions, including GWAS, marker-assisted breeding, and genome editing. Furthermore, the key challenges unique to urban indoor farming such as diseases, pests, abiotic stresses will be reviewed. There will be talks by guests from local industry, along with mini projects and seminars by students to enrich their learning outcomes._x000D_
","food and beverage safety, hygiene and security",In Sector,0,"The course focuses on urban agriculture and biotechnology, not specifically on food and beverage safety, hygiene, and security.",high,0.0,"The course content does not explicitly cover food and beverage safety, hygiene, and security. It focuses on sustainable food production, indoor agriculture, and genetic solutions for food security, which are not directly related to the defined knowledge and abilities for food and beverage safety, hygiene, and security.",high
TGS-2022012332,Fire Prevention And Firefighting,Placemaking Contract Management,"(1) The objective of the course is to empower course participants with the knowledge of the different contract/ dispute management processes available in the Place Management and how to apply them so that impacts to a project due to disputes will be minimized. _x000D_
(2) It seeks to equip place managers and allied professionals to acquire the following knowledge and skills: (a) recognition of when an issue in a project becomes a dispute, (b) application of the knowledge of the advantages and disadvantages of the different dispute management processes. _x000D_
(3) As different dispute management processes are supported by law, with the acquisition of the skills mentioned, a professional would be able to understand and carry out the contractual and statutory obligations and also assert his/her rights. Such compliance with contractual and statutory obligations will result in good management and prompt completion of the project while maintaining the working relationship between project parties.","Participants will discuss the legal principles relevant to the practice of place management in Singapore including a brief introduction to land law and legal aspects in relation to township management; public/building maintenance; strata management; building control and occupational safety; fire safety; torts and selected contracts. _x000D_
_x000D_
Participants will focus each day on the various topics below. Each topic will include sub-topics elaborating the legal principles in placemaking applications: _x000D_
â€¢ Essentials of Contract Law 1 (Day 1) _x000D_
â€¢ Essentials of Contract Law 2 (Day 2) _x000D_
â€¢ Dispute Management (Day 3) _x000D_
â€¢ Dispute Protocols (Day 3) _x000D_
â€¢ FM Contracts (Day 4) _x000D_
â€¢ Tort Occupierâ€™s Liability (Day 5) _x000D_
â€¢ Case studies (Day 5)",fire prevention and firefighting,In Sector,0,"The course focuses on contract and dispute management, not on fire prevention and firefighting.",high,0.0,"The course content provided does not include specific details or training related to fire prevention and firefighting. The focus is on contract management, dispute management, and legal principles relevant to place management.",high
TGS-2022012722,Air Cargo Operations Management,Port Operation and Management (Synchronous e-learning),"The objective of this course is to prepare skilled manpower which can handle port planning and management operations. This manpower will also be adept at understanding the general cargo management._x000D_
","Port operations are complex and they require constant planning and monitoring to maintain the efficiency. Various resources of the port are very critical and proper planning is required to maximise their utilization. This planning ensures that the port is able to service more customers in the same time, thereby improving its productivity as well as profitability. This module will help the students understand the basic planning and management of the port processes. This module will also impart skills to the students to undertake port planning activities like berth scheduling, yard management and fleet management._x000D_
_x000D_
The cargo shipped between ports is very different than other cargo shipped through rail, air or road. The module will also introduce the students to the concepts of general port cargo, peculiarities of their operations and managing skills.                                                                                      _x000D_
_x000D_
The ultimate objective of this course is to prepare skilled manpower which can handle port planning and management operations. This manpower will also be adept at understanding the general cargo management.",air cargo operations management,In Sector,0,"The course focuses on port operations and general cargo management, not specifically on air cargo operations.",high,0.0,"The course content focuses on port operations and management, including port planning, berth scheduling, yard management, fleet management, and general cargo management. There is no mention of air cargo operations management in the course content.",high
TGS-2022013115,Network Planning And Operations,Neural Networks for the Internet of Things (Synchronous e-Learning)						,"At the end of the course, participants will be able to:_x000D_
1. design neural networks to learn and make predictions and decisions about IoT data","In this course, learners will learn the basics of neural networks, covering both unsupervised and supervised networks. Topics covered include unsupervised methods like Hebbian Learning, Kohonen Self Organizing Maps and K-Means Clustering, and supervised methods like the Perceptron Learning Law and Gradient Descent. Learners will also look at other forms of gradient descent, and the key issues in designing neural networks to get the best performance, including sizing the network, selecting loss and optimization methods, and overcoming under and overfitting.",network planning and operations,In Sector,0,"The course focuses on neural networks for IoT, not specifically on network planning and operations.",high,0.0,"The provided Knowledge Base does not contain specific proficiency levels for the skill 'network planning and operations' in the context of neural networks and IoT. The available proficiency levels are related to airline operations and network planning, which do not directly correlate with the course content on neural networks for IoT.",low
TGS-2019502090,Network Planning And Operations,Communicating and Managing Change (SF),"On completion of the course, the participants would be able to:_x000D_
â€¢Understand the underlying principles of change management and communications_x000D_
â€¢Devise communication, change management and knowledge management approaches to support IT and digitalisation project objectives_x000D_
â€¢Recognise common consequences of IT change, including resistance to change among stakeholders, and select appropriate interventions to address them_x000D_
â€¢Identify and map stakeholders and determine appropriate engagement strategies to support the change initiative_x000D_
â€¢Understand the importance of, and opportunities for, knowledge management through the change process_x000D_
â€¢Determine when and how to apply a variety of change management, information management, and communications planning tools, templates and checklists","â€¢Fundamentals of change management and communications_x000D_
â€¢Vision for IT change_x000D_
â€¢Stakeholder engagement_x000D_
â€¢Communicating IT change_x000D_
â€¢Managing internal and external communications_x000D_
â€¢Enabling IT change through organisational alignment, motivation and training",network planning and operations,In Sector,0,"The course focuses on change management and communications, not specifically on Network Planning and Operations.",high,0.0,The course content and skills taught in 'Communicating and Managing Change' do not align with the knowledge and abilities associated with any proficiency levels for the skill 'network planning and operations' as defined in the Knowledge Base.,high
