Course Title,Course Reference Number,TP Name,TP UEN,Programme Type,About This Course,What You'll Learn,TSC Category,TSC Title/Skill,Training Provider,WSQ/Non-WSQ,Appears in 11K list?
Graduate Certificate in Customer Analytics,TGS-2020001433,NATIONAL UNIVERSITY OF SINGAPORE,200604346E,SSG-NON-WSQ,,"This certificate aims to equip the learners with the skills to manage data and provide analytics solutions for customer relationship management and monitor campaigns effectively for business goals. It enables participants to measure short-term objectives, long term strategies, and optimum return on marketing investments. The course will cover the following elements: CRM concepts, Customer Life Cycle Management principles, concepts of multivariate analysis like dimension reduction, cluster analysis, profiling, Propensity models, Attrition/churn Models, RFM Analysis, Customer Lifetime Value calculation, Campaign Management principles and Marketing Mix Modelling.

The certificate will equip the participants to deploy insights from data to pick the right consumer, with the right channel and design the right message. Successful completion of the certificate will provide customer analytics, marketing insights, and data scientist roles which specialising in customer management.",Business and Organisational Management,Business Planning,NATIONAL UNIVERSITY OF SINGAPORE,SSG-NON-WSQ,N
Information Security Policy and Management,TGS-2020502888,NATIONAL UNIVERSITY OF SINGAPORE,200604346E,SSG-NON-WSQ,This course brings you through the learning journey of championing and catalysing a digital business that spans across geographical and functional boundaries. The key is to effectively charter IT policy for business growth and expansion.,"Advances in information technology (IT) are driving the transformation and success of modern organisations. Along with these advances, we see increasing cyber threats and risks that must be appropriately managed by the organisation. This course will prepare IT leaders to manage these challenges through understanding how to build a cybersecurity strategy and program that not only implements technical safeguards, but also employs effective policy, other controls and risk management practices to make the organisation resilient to threats and disruption.",Network Technology Management,Cyber Risk Management,NATIONAL UNIVERSITY OF SINGAPORE,SSG-NON-WSQ,N
Software Security,TGS-2020502890,NATIONAL UNIVERSITY OF SINGAPORE,200604346E,SSG-NON-WSQ,"This programme includes a focus set of courses on key aspects on the design and implementation of secure systems that cover the latest research findings, both applied and fundamental.","Software engineering processes need to include security considerations in the modern world. This module familiarizes students to security issues in different stages of the software lifecycle. At the end of the module, the students are expected to understand secure programming practices, be able to analyse and check for impact of malicious inputs in programs, and employ specific testing techniques which can help detect software vulnerabilities.",Network Technology Management,Cyber Risk Management,NATIONAL UNIVERSITY OF SINGAPORE,SSG-NON-WSQ,N
NUS-ISS Business Process Re-engineering for Financial Services (BPR-FS),TGS-2021005306,NATIONAL UNIVERSITY OF SINGAPORE,200604346E,SSG-NON-WSQ,"At the end of the course, the participants will be able to:
1. Establish BPR strategy within an organisation, including setting the right vision and goals for
the BPR project, selection and prioritization of processes, forming BPR project team and
securing buy-ins and support from the department heads and senior management.
2. Understand the BPR Framework ï¿½ a framework for manging the entire BPR project from start
to end.
3. Perform Current Process Analysis ï¿½ to understand the current processes through various
information gathering techniques, and analyse the current processes to identify where are the
problems and what are the opportunities for improvements.
4. Learn different techniques in New Process Design for different scenarios.
5. Apply Change Management techniques to overcome key challenges in implementing BPR.",,Organisational Development,Change Management,NATIONAL UNIVERSITY OF SINGAPORE,SSG-NON-WSQ,N
ISC2 Certified Information Systems Security Professional Common Body of Knowledge (CISSP CBK) Training Seminar,TGS-2022013666,NATIONAL UNIVERSITY OF SINGAPORE,200604346E,SSG-NON-WSQ,"At the end of the course, participants will be able to: - conduct a security risk assessment and recommend appropriate security controls - justify information security decisions - acquire knowledge in the 8 domains of the CISSP CBK","This course covers information security concepts and industry best practices in the 8 CISSP CBK domains including information security risk management, information asset security, access control, security engineering, network security, software development security, security assessments and security operations.",Network Technology Management,Cyber Risk Management,NATIONAL UNIVERSITY OF SINGAPORE,SSG-NON-WSQ,N
ISC2 Certified Information Systems Security Professional Common Body of Knowledge (CISSP CBK) Training Seminar (Synchronous e-Learning),TGS-2022013672,NATIONAL UNIVERSITY OF SINGAPORE,200604346E,SSG-NON-WSQ,"At the end of the course, participants will be able to: - conduct a security risk assessment and recommend appropriate security controls - justify information security decisions - acquire knowledge in the 8 domains of the CISSP CBK","This course covers information security concepts and industry best practices in the 8 CISSP CBK domains including information security risk management, information asset security, access control, security engineering, network security, software development security, security assessments and security operations.",Network Technology Management,Cyber Risk Management,NATIONAL UNIVERSITY OF SINGAPORE,SSG-NON-WSQ,N
ISC2 Systems Security Certified Practitioner Common Body of Knowledge (SSCP CBK) Training Seminar,TGS-2022013674,NATIONAL UNIVERSITY OF SINGAPORE,200604346E,SSG-NON-WSQ,"The course domains are: _x000D_
- Access Controls_x000D_
- Security Operations and Administration_x000D_
- Risk Identification, Monitoring and Analysis_x000D_
- Incident Response and Recovery_x000D_
- Cryptography_x000D_
- Network and Communication Security_x000D_
- Systems and Application Security","A global cybersecurity talent shortage continues to be a problem for companies across industries and sizes. In an era of high-profile data breaches and devastating cyberattacks, cybersecurity impacts every organisation. There is an impending demand for cybersecurity talent, and even more so in recent years._x000D_
_x000D_
This course will equip you with the know-how on the operational aspect of cybersecurity. It is suitable for professionals who are new to cybersecurity and also IT professionals or Operations technology (OT) engineers who require cybersecurity know-how as a complimentary skill. Today, in fact, it is important for IT professionals and OT engineers to understand security controls and practices to secure the domains under their care._x000D_
_x000D_
This course provides knowledge needed to implement, monitor and administrate security features. The common body of knowledge is established by global security professional body, International Information System Security Certification Consortium (ISC2). Participants can progress to take the examination to obtain the Systems Security Certified Practitioner (SSCP) certification which has a globally recognised system security credential.",Business and Organisational Management,Networking,NATIONAL UNIVERSITY OF SINGAPORE,SSG-NON-WSQ,N
ISC2 Systems Security Certified Practitioner Common Body of Knowledge (SSCP CBK) Training Seminar (Synchronous e-Learning),TGS-2022013675,NATIONAL UNIVERSITY OF SINGAPORE,200604346E,SSG-NON-WSQ,"The course domains are: _x000D_
- Access Controls_x000D_
- Security Operations and Administration_x000D_
- Risk Identification, Monitoring and Analysis_x000D_
- Incident Response and Recovery_x000D_
- Cryptography_x000D_
- Network and Communication Security_x000D_
- Systems and Application Security","A global cybersecurity talent shortage continues to be a problem for companies across industries and sizes. In an era of high-profile data breaches and devastating cyberattacks, cybersecurity impacts every organisation. There is an impending demand for cybersecurity talent, and even more so in recent years._x000D_
_x000D_
This course will equip you with the know-how on the operational aspect of cybersecurity. It is suitable for professionals who are new to cybersecurity and also IT professionals or Operations technology (OT) engineers who require cybersecurity know-how as a complimentary skill. Today, in fact, it is important for IT professionals and OT engineers to understand security controls and practices to secure the domains under their care._x000D_
_x000D_
This course provides knowledge needed to implement, monitor and administrate security features. The common body of knowledge is established by global security professional body, International Information System Security Certification Consortium (ISC2). Participants can progress to take the examination to obtain the Systems Security Certified Practitioner (SSCP) certification which has a globally recognised system security credential.",Business and Organisational Management,Networking,NATIONAL UNIVERSITY OF SINGAPORE,SSG-NON-WSQ,N
TOGAFï¿½ Enterprise Architecture Part 1 and Part 2 Exam,TGS-2023036341,National University of Singapore,200604346E,SSG-NON-WSQ,"At the end of the course, participants will be able to:

    ï¿½    Understand the importance of Enterprise Architecture (EA) as a strategic value driver
Integrate business processes into strategy formulation
    ï¿½    Develop business processes to meet business goals and provide competitive differentiation
Evaluate Enterprise Architecture development process, and use it to influence the business cycle
    ï¿½    Develop enabling IT architecture required to implement core organisational business processes
    ï¿½    Design good governance mechanisms to facilitate architecture driven approach
    ï¿½    Initiate EA adoption and sustenance in your organisations and promote the value and need for EA","This is the exam component for Enterprise Architecture Practitioner Course.
The course covers the four key architectures that impacts the enterprise. These are Business Architecture, Data Architecture, Application Architecture and Technology Architecture. Participants are taught the The Open Group TOGAFï¿½ standard used in the architecting process and how it can be used for architecture governance and management.
This course provides training in TOGAFï¿½ standard, 10th Edition and also addresses all the learning outcomes required for TOGAFï¿½ Enterprise Architecture Level 1 and Level 2 Learning Outcomes.",Business and Organisational Management,Business Planning,National University of Singapore,SSG-NON-WSQ,N
TOGAFï¿½ Enterprise Architecture Part 1 and Part 2 Exam,TGS-2023036341,National University of Singapore,200604346E,SSG-NON-WSQ,"At the end of the course, participants will be able to:

    ï¿½    Understand the importance of Enterprise Architecture (EA) as a strategic value driver
Integrate business processes into strategy formulation
    ï¿½    Develop business processes to meet business goals and provide competitive differentiation
Evaluate Enterprise Architecture development process, and use it to influence the business cycle
    ï¿½    Develop enabling IT architecture required to implement core organisational business processes
    ï¿½    Design good governance mechanisms to facilitate architecture driven approach
    ï¿½    Initiate EA adoption and sustenance in your organisations and promote the value and need for EA","This is the exam component for Enterprise Architecture Practitioner Course.
The course covers the four key architectures that impacts the enterprise. These are Business Architecture, Data Architecture, Application Architecture and Technology Architecture. Participants are taught the The Open Group TOGAFï¿½ standard used in the architecting process and how it can be used for architecture governance and management.
This course provides training in TOGAFï¿½ standard, 10th Edition and also addresses all the learning outcomes required for TOGAFï¿½ Enterprise Architecture Level 1 and Level 2 Learning Outcomes.",Productivity and Innovation,Innovation Management,National University of Singapore,SSG-NON-WSQ,N
BACHELOR OF ENGINEERING (MATERIALS ENGINEERING),TGS-2015502630,Nanyang Technological University,200604393R,SSG-NON-WSQ,Please refer to NTU website.,Please refer to NTU website.,Precision Manufacturing Process,Cutting,NANYANG TECHNOLOGICAL UNIVERSITY,SSG-NON-WSQ,N
DIY Analytics - Making data-driven decisions for a more profitable business,TGS-2015502633,NANYANG TECHNOLOGICAL UNIVERSITY,200604393R,SSG-NON-WSQ,"There is a growing trend amongst companies using analytics to identify gaps, trends and benchmark their business with others. Companies spend billions of dollars annually on business intelligence tools for the simple reason that it drives the top and bottom line. According to Gartner, business intelligence has been the number one technology for the past three years running and surveys have shown that it is the second most important application and technology issue after anti-virus protection.However, deriving insights from data analytics is NOT the domain of large companies. Even small companies (SMEs) and start-ups can benefit from it. Data Analytics is NOT just about IT solutions and tools; rather it is a methodology and process that is independent of IT. Insights from Data Analytics is NOT solely about amassing large amounts of information and data and applying technology to see trends and patterns; it is about knowing what to collect in a timely manner and that will feed into and add value to the decision-making process.Companies are focusing on business insights as the primary inputs into business strategy formulation, marketing and operations. The more business insights a company has about the customer, the competition and the market, the better will be the position it will be in to increase its revenues and profits. Companies that have good business insights will almost always perform better than others.",,Business and Organisational Management,Business Data Analysis,NANYANG TECHNOLOGICAL UNIVERSITY,SSG-NON-WSQ,N
MASTER OF SCIENCE (TECHNOPRENEURSHIP & INNOVATION) - ENGLISH,TGS-2016503310,Nanyang Technological University,200604393R,SSG-NON-WSQ,Please refer to NTU website,Please refer to NTU website,Business and Organisational Management,Business Planning,NANYANG TECHNOLOGICAL UNIVERSITY,SSG-NON-WSQ,N
MASTER OF BUSINESS ADMINISTRATION - EXECUTIVE MBA,TGS-2016503311,Nanyang Technological University,200604393R,SSG-NON-WSQ,Please refer to NTU website,Please refer to NTU website,Business and Organisational Management,Business Planning,Nanyang Technological University,SSG-NON-WSQ,N
MASTER OF BUSINESS ADMINISTRATION (NANYANG FELLOWS),TGS-2016503322,Nanyang Technological University,200604393R,SSG-NON-WSQ,Please refer to NTU website,Please refer to NTU website,Business and Organisational Management,Competitive Business Strategy,Nanyang Technological University,SSG-NON-WSQ,N
MASTER OF SCIENCE (BUSINESS ANALYTICS),TGS-2020509203,Nanyang Technological University,200604393R,SSG-NON-WSQ,Please refer to NTU website,Please refer to NTU website,Business and Organisational Management,Business Data Analysis,Nanyang Technological University,SSG-NON-WSQ,N
Empowering Self with Creative Thinking Skills,TGS-2022017338,EDUQUEST INTERNATIONAL INSTITUTE PTE. LTD.,200721365K,SSG-WSQ,"At the end of this course learners will be able to:_x000D_
- Identify and explain techniques used in the creative thinking process_x000D_
- Apply process analysis techniques to analyse current work processes and identify potential improvements_x000D_
- Use information collection tools to gather information_x000D_
- Apply creative thinking skills and techniques to resolve issues_x000D_
- Apply experimental techniques to test ideas, improvements and/or new solutions_x000D_
- Monitor implementation and apply impact measurement techniques to collect information and measure effectiveness of ideas or solutions","This programme aims to enable learners to develop their critical thinking skills in order for them to be able to find creative ideas and solutions to real workplace situations._x000D_
Learners will connect ideas or information to propose and test ideas, improvements and solutions which challenge current assumptions or ways of working.",Productivity and Innovation,Innovation Management,EDUQUEST INTERNATIONAL INSTITUTE PTE. LTD.,SSG-WSQ,N
Apply Workplace Safety and Health in Construction Sites,TGS-2022013112,AUGUST INTERNATIONAL PTE. LTD.,200808289G,SSG-WSQ,"Identify own roles and responsibilities as an employee in a construction job,Follow safe work procedures in construction sites,Follow safe â€œWork-at-Heightâ€ procedure,Respond to fire emergencies","Participants will be able to recognize the common safety hazards at construction site, know the preventive measures to be adopted, confident in working at height and be aware on the importance of observing safety signs and safe work procedures including their rights and responsibilities.",Workplace Safety and Health Management,Workplace Safety and Health Practice,AUGUST INTERNATIONAL PTE. LTD.,SSG-WSQ,N
Apply Workplace Safety and Health in Construction Sites,TGS-2022013112,AUGUST INTERNATIONAL PTE. LTD.,200808289G,SSG-WSQ,"Identify own roles and responsibilities as an employee in a construction job,Follow safe work procedures in construction sites,Follow safe â€œWork-at-Heightâ€ procedure,Respond to fire emergencies","Participants will be able to recognize the common safety hazards at construction site, know the preventive measures to be adopted, confident in working at height and be aware on the importance of observing safety signs and safe work procedures including their rights and responsibilities.",Workplace Safety and Health Management,Workplace Safety and Health System Management,AUGUST INTERNATIONAL PTE. LTD.,SSG-WSQ,N
Apply Workplace Safety and Health in Construction Sites (MANDARIN),TGS-2022013320,AUGUST INTERNATIONAL PTE. LTD.,200808289G,SSG-NON-WSQ,"Identify own roles and responsibilities as an employee in a construction job,Follow safe work procedures in construction sites,Follow safe â€œWork-at-Heightâ€ procedure,Respond to fire emergencies","Participants will be able to recognize the common safety hazards at construction site, know the preventive measures to be adopted, confident in working at height and be aware on the importance of observing safety signs and safe work procedures including their rights and responsibilities.",Workplace Safety and Health Management,Workplace Safety and Health Practice,AUGUST INTERNATIONAL PTE. LTD.,SSG-NON-WSQ,N
Apply Workplace Safety and Health in Construction Sites (MANDARIN),TGS-2022013320,AUGUST INTERNATIONAL PTE. LTD.,200808289G,SSG-NON-WSQ,"Identify own roles and responsibilities as an employee in a construction job,Follow safe work procedures in construction sites,Follow safe â€œWork-at-Heightâ€ procedure,Respond to fire emergencies","Participants will be able to recognize the common safety hazards at construction site, know the preventive measures to be adopted, confident in working at height and be aware on the importance of observing safety signs and safe work procedures including their rights and responsibilities.",Workplace Safety and Health Management,Workplace Safety and Health System Management,AUGUST INTERNATIONAL PTE. LTD.,SSG-NON-WSQ,N
Apply Workplace Safety and Health in Construction Sites(TAMIL),TGS-2022013419,AUGUST INTERNATIONAL PTE. LTD.,200808289G,SSG-NON-WSQ,"Identify own roles and responsibilities as an employee in a construction job,Follow safe work procedures in construction sites,Follow safe â€œWork-at-Heightâ€ procedure,Respond to fire emergencies","Participants will be able to recognize the common safety hazards at construction site, know the preventive measures to be adopted, confident in working at height and be aware on the importance of observing safety signs and safe work procedures including their rights and responsibilities.",Workplace Safety and Health Management,Workplace Safety and Health Practice,AUGUST INTERNATIONAL PTE. LTD.,SSG-NON-WSQ,N
Apply Workplace Safety and Health in Construction Sites(TAMIL),TGS-2022013419,AUGUST INTERNATIONAL PTE. LTD.,200808289G,SSG-NON-WSQ,"Identify own roles and responsibilities as an employee in a construction job,Follow safe work procedures in construction sites,Follow safe â€œWork-at-Heightâ€ procedure,Respond to fire emergencies","Participants will be able to recognize the common safety hazards at construction site, know the preventive measures to be adopted, confident in working at height and be aware on the importance of observing safety signs and safe work procedures including their rights and responsibilities.",Workplace Safety and Health Management,Workplace Safety and Health System Management,AUGUST INTERNATIONAL PTE. LTD.,SSG-NON-WSQ,N
Apply Workplace Safety and Health in Construction Sites (MALAY),TGS-2022013420,AUGUST INTERNATIONAL PTE. LTD.,200808289G,SSG-NON-WSQ,"Identify own roles and responsibilities as an employee in a construction job,Follow safe work procedures in construction sites,Follow safe â€œWork-at-Heightâ€ procedure,Respond to fire emergencies","Participants will be able to recognize the common safety hazards at construction site, know the preventive measures to be adopted, confident in working at height and be aware on the importance of observing safety signs and safe work procedures including their rights and responsibilities.",Workplace Safety and Health Management,Workplace Safety and Health Practice,AUGUST INTERNATIONAL PTE. LTD.,SSG-NON-WSQ,N
Apply Workplace Safety and Health in Construction Sites (MALAY),TGS-2022013420,AUGUST INTERNATIONAL PTE. LTD.,200808289G,SSG-NON-WSQ,"Identify own roles and responsibilities as an employee in a construction job,Follow safe work procedures in construction sites,Follow safe â€œWork-at-Heightâ€ procedure,Respond to fire emergencies","Participants will be able to recognize the common safety hazards at construction site, know the preventive measures to be adopted, confident in working at height and be aware on the importance of observing safety signs and safe work procedures including their rights and responsibilities.",Workplace Safety and Health Management,Workplace Safety and Health System Management,AUGUST INTERNATIONAL PTE. LTD.,SSG-NON-WSQ,N
(SCTP) Data Science Professional (Classroom & Synchronous e-learning),TGS-2023021704,BELLS Institute of Higher Learning Pte. Ltd.,200810205H,SSG-NON-WSQ,"Learners will be able to: _x000D_
_x000D_
1. acquired a solid foundation in both Data Science and Probability/Statistics._x000D_
2. acquired proficient in data preparation and programming for data science in Python._x000D_
3. Work with big data, different data sources and databases usch as Hadoop and Spark, distributed computing with Hadoop and Spark, data warehousing and ETL, NoSQL databases like MongoDB and Cassandra, and stream processing with Kafka and Storm. This learning unit also covered the types of data sources and databases, data modelling and normalization, structured data sources and databases, relational databases, SQL queries, MySQL and PostgreSQL installation, configuration and usage, and data warehousing and OLAP. _x000D_
4. Develop a foundation in the different Machine Learning techniques and be able to apply them in real-world scenarios._x000D_
5. acquired a solid understanding of the principles of data visualisation, and be able to create interactive and compelling data visualisations using different tools and techniques for effective communication of insights to stakeholders._x000D_
6. acquired the knowledge and application skills in problem solving, to identifying a real-life problem or an opportunity in their companies or businesses and to develop a solution or a plan to capture the opportunity._x000D_
7. apply knowledge to gain insights, know how to communicate effectively as a leader that is increasingly important to drive adaptability and change.","(SCTP) Data Science Professional is a multidisciplinary programme that combines aspects of computer science, mathematics, statistics, and engineering to extract knowledge and draw insights from large datasets.  It is a rapidly growing field with a wide range of applications in analytics, forecasting, optimization, machine learning, artificial intelligence (AI), natural language processing (NLP), and more. _x000D_
_x000D_
In this course, students will be introduced to the process of data analysis from start to finish â€“ from collecting data and refining it for analysis to communicating the results of their research. The goal is to equip them with an understanding of key data science principles and techniques as well as an appreciation for the challenges associated with real-world applications. _x000D_
_x000D_
In addition to exploring fundamental concepts such as descriptive statistics and visualization methods, students will learn how to apply sophisticated algorithms and the Python programming language in order to bring powerful insights from complex datasets. _x000D_
_x000D_
They will explore topics such as supervised learning models for predictive analysis (e.g., linear regression), unsupervised machine learning approaches for clustering or pattern recognition (e.g., K-means clustering), nonlinear models for nonparametric problems (e.g., decision trees), natural language processing techniques for text analytics (e.g., sentiment analysis), deep learning networks for image recognition/classification tasks (e.g., convolutional neural networks), reinforcement learning algorithms for autonomous robotic systems (e.g., Q-learning), time series analysis for forecasting methods such as ARIMA models or Holt-Winters smoothing techniques, and much more._x000D_
_x000D_
",Business and Organisational Management,Networking,BELLS Institute of Higher Learning Pte. Ltd.,SSG-NON-WSQ,N
SUPERVISE SAFE LIFTING OPERATIONS (CLASSROOM + ASYNCHRONOUS E-LEARNING),TGS-2022013063,EVERSAFE ACADEMY PTE. LTD.,200813706C,SSG-WSQ,"The Generic Manufacturing Skills (GMS) WSQ framework aims to raise the _x000D_
professionalism of the manufacturing industry by equipping the workforce with essential generic and portable skills to adapt and be resilient to challenges in the dynamic working environment. It allows employers to access a pipeline of skilled workforce, which provides a competitive advantage and enables organization success. It also equips workers with cross-cutting generic manufacturing skills to effectively contribute and progress within an organization as well as promote mobility across manufacturing companies._x000D_
","CE 1 Prepare to supervise safe lifting operations_x000D_
CE 2 Carry out supervision of safe lifting operations_x000D_
CE 3 Supervise reinstatement of safe lifting operations_x000D_
",Manufacturing and Operations,Manufacturing Technology,EVERSAFE ACADEMY PTE. LTD.,SSG-WSQ,N
Food Safety Course Level 1 (Refresher) (Chinese),TGS-2022011430,ASCENDO ACADEMY PTE. LTD.,200817725C,SSG-WSQ,Train Food Handlers to follow Food and Beverage Safety and Hygiene Policies and Procedures to ensure food safety.,"1. Practise Good Personal Hygiene_x000D_
2. Use Safe Ingredients_x000D_
3. Handle Food Safely_x000D_
4. Store Food Safely_x000D_
5. Maintain cleanliness of utensils, equipment and storage areas",Manufacturing and Operations,Cleanliness and Contamination Control,ASCENDO ACADEMY PTE. LTD.,SSG-WSQ,N
Food Safety Course Level 1 (Refresher) (Chinese),TGS-2022011430,ASCENDO ACADEMY PTE. LTD.,200817725C,SSG-WSQ,Train Food Handlers to follow Food and Beverage Safety and Hygiene Policies and Procedures to ensure food safety.,"1. Practise Good Personal Hygiene_x000D_
2. Use Safe Ingredients_x000D_
3. Handle Food Safely_x000D_
4. Store Food Safely_x000D_
5. Maintain cleanliness of utensils, equipment and storage areas",Workplace Safety and Health Management,Workplace Safety and Health System Management,ASCENDO ACADEMY PTE. LTD.,SSG-WSQ,N
MEC6012 Systems Engineering for Urban Railway Systems,TGS-2021008781,SINGAPORE INSTITUTE OF TECHNOLOGY,200917667D,SSG-NON-WSQ,"1)	articulate fundamental principles and concepts of Systems Engineering._x000D_
_x000D_
2)	demonstrate and apply Systems Engineering processes through the co-development of an engineered system._x000D_
_x000D_
","This course looks at the transdisciplinary and integrative approach of Systems Engineering to enable the successful definition, realization, deployment and use, as well as retirement of engineered systems. Systems principles and concepts as well as Systems Engineering processes are illustrated through the co-development of an engineered system.",Automation Management,Automated System Design,SINGAPORE INSTITUTE OF TECHNOLOGY,SSG-NON-WSQ,N
Data Analytics Using Power BI,TGS-2020504747,IMPRESS TRAINING PTE. LTD.,201100397C,SSG-NON-WSQ,"Ready To Use Your Data for Insights?_x000D_
_x000D_
Power BI is a business analytics service by Microsoft. It aims to provide interactive visualizations and business intelligence capabilities with an interface simple enough for end users to create their own reports and dashboards._x000D_
_x000D_
This course provides participants with the knowledge and skills to work with and analyze data and work with business cases using Microsoft Power BI. This course will allow participants to use Power BI Desktop to connect to various data sources, shape the data, and use data models to create reports. Through this Power BI course, participants can learn that Power BI Desktop centralizes, simplifies, and streamlines what can otherwise be a scattered, disconnected, and arduous process of designing and creating business intelligence repositories and reports.","â€¢	Introduction to Power BI _x000D_
â€¢	Recap: Data Normalization and Tables_x000D_
â€¢	Working with Data and defining a business case_x000D_
â€¢	Power BI Desktop_x000D_
â€¢	Visualizations & Formatting_x000D_
â€¢	Working with Filters_x000D_
â€¢	Advanced Visualizations_x000D_
â€¢	Understanding Visual Interactions_x000D_
â€¢	Reports in Power BI_x000D_
â€¢	Q & A and Quick Insights_x000D_
â€¢	PowerBI Service and PowerBI Mobile_x000D_
",Business and Organisational Management,Business Data Analysis,IMPRESS TRAINING PTE. LTD.,SSG-NON-WSQ,N
Data Analytics Using Power BI,TGS-2020504747,IMPRESS TRAINING PTE. LTD.,201100397C,SSG-NON-WSQ,"Ready To Use Your Data for Insights?_x000D_
_x000D_
Power BI is a business analytics service by Microsoft. It aims to provide interactive visualizations and business intelligence capabilities with an interface simple enough for end users to create their own reports and dashboards._x000D_
_x000D_
This course provides participants with the knowledge and skills to work with and analyze data and work with business cases using Microsoft Power BI. This course will allow participants to use Power BI Desktop to connect to various data sources, shape the data, and use data models to create reports. Through this Power BI course, participants can learn that Power BI Desktop centralizes, simplifies, and streamlines what can otherwise be a scattered, disconnected, and arduous process of designing and creating business intelligence repositories and reports.","â€¢	Introduction to Power BI _x000D_
â€¢	Recap: Data Normalization and Tables_x000D_
â€¢	Working with Data and defining a business case_x000D_
â€¢	Power BI Desktop_x000D_
â€¢	Visualizations & Formatting_x000D_
â€¢	Working with Filters_x000D_
â€¢	Advanced Visualizations_x000D_
â€¢	Understanding Visual Interactions_x000D_
â€¢	Reports in Power BI_x000D_
â€¢	Q & A and Quick Insights_x000D_
â€¢	PowerBI Service and PowerBI Mobile_x000D_
",Business and Organisational Management,Business Planning,IMPRESS TRAINING PTE. LTD.,SSG-NON-WSQ,N
RISE for Financial Services - Data Analytics (Module 2: Advanced Data Analytics in Financial Services (Synchronous e-learning)),TGS-2023018296,THE BOSTON CONSULTING GROUP SINGAPORE PTE. LTD.,201128508N,SSG-WSQ,"LO1: Identify patterns from data using statistical approach_x000D_
LO2: Understand key business processes within the organization and identify proper machine learning algorithms to support each_x000D_
LO3: Perform exploratory data analysis and identify patterns from datasets_x000D_
LO4: Develop common machine learning algorithms_x000D_
LO5. Draw new business insights from analytic results and determine impacts_x000D_
LO6. Implement data analytics on real business problem statement and demonstrate insights with standard visualization_x000D_
LO7: Describe ethical conduct within an organization and manage data according to key principles","This course aims to develop the knowledge and skills required to implement data analytics within the organisation to generate business insights and intelligence and follow ethical principles in the process. This course covers the use of statistical and computational techniques and tools, algorithms, predictive data modelling and data visualisation, as well as legal and ethical conducts in data handling._x000D_
 _x000D_
The content is contextualised to the Financial Services sector. _x000D_
_x000D_
Upon completion of this unit, learners will be able to develop, apply and evaluate algorithms, as well as identify and mitigate ethical challenges in handling the data. They will be able to apply and uphold principles of professional, legal and ethical conduct, policies and procedures in the handling of data.",Big Data Analytics,Data Analytics System Design,THE BOSTON CONSULTING GROUP SINGAPORE PTE. LTD.,SSG-WSQ,N
RISE for Financial Services - Data Analytics (Module 2: Advanced Data Analytics in Financial Services (Synchronous e-learning)),TGS-2023018296,THE BOSTON CONSULTING GROUP SINGAPORE PTE. LTD.,201128508N,SSG-WSQ,"LO1: Identify patterns from data using statistical approach_x000D_
LO2: Understand key business processes within the organization and identify proper machine learning algorithms to support each_x000D_
LO3: Perform exploratory data analysis and identify patterns from datasets_x000D_
LO4: Develop common machine learning algorithms_x000D_
LO5. Draw new business insights from analytic results and determine impacts_x000D_
LO6. Implement data analytics on real business problem statement and demonstrate insights with standard visualization_x000D_
LO7: Describe ethical conduct within an organization and manage data according to key principles","This course aims to develop the knowledge and skills required to implement data analytics within the organisation to generate business insights and intelligence and follow ethical principles in the process. This course covers the use of statistical and computational techniques and tools, algorithms, predictive data modelling and data visualisation, as well as legal and ethical conducts in data handling._x000D_
 _x000D_
The content is contextualised to the Financial Services sector. _x000D_
_x000D_
Upon completion of this unit, learners will be able to develop, apply and evaluate algorithms, as well as identify and mitigate ethical challenges in handling the data. They will be able to apply and uphold principles of professional, legal and ethical conduct, policies and procedures in the handling of data.",Business and Organisational Management,Business Data Analysis,THE BOSTON CONSULTING GROUP SINGAPORE PTE. LTD.,SSG-WSQ,N
"RISE for Financial Services - Data Analytics (Module 3: Applying Advanced Data Analytics in Financial Services, (Synchronous e-learning))",TGS-2023018332,THE BOSTON CONSULTING GROUP SINGAPORE PTE. LTD.,201128508N,SSG-WSQ,"LO1: Understand the importance of design thinking, methodologies, and applications in an organization_x000D_
LO2: Apply design thinking knowledge and produce prototypes in a financial institution context_x000D_
LO3: Identify key stakeholder relationships, understand their needs and_x000D_
interests to better coordinate with them daily_x000D_
LO4: Respond and tackle challenges in stakeholder management_x000D_
LO5: Apply design thinking techniques and stakeholder management skills_x000D_
","This course aims to develop the knowledge and skills required to manage design thinking methodologies and processes to solve specific challenges in financial institutions and apply stakeholder management skills while guiding stakeholders through the phases of inspiration, empathy, ideation and implementation._x000D_
_x000D_
The content is contextualised to the Financial Services sector._x000D_
_x000D_
Upon completion of this course, learners will be able to apply design thinking methodologies and execute design thinking processes to challenge norms and conventions in the organisation. They will be able to identify key stakeholder relationships, needs and interests, and coordinate with stakeholders on a day-to-day basis.",Business and Organisational Management,Networking,THE BOSTON CONSULTING GROUP SINGAPORE PTE. LTD.,SSG-WSQ,N
